sampno,perno,dayno,actype,locname,arrtime,deptime,travtime,actdur,distance,transportmode,lon,lat,start_lon,start_lat,end_lon,end_lat
20000228,1,1,leisure,Home,05:26,06:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,dining,Home,06:26,07:00,0,34,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,leisure,Home,07:00,08:30,0,90,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,errands,Saint Benedict School,08:30,09:30,13,60,0.9165634731578345,walking,-87.6339386,41.7750338,-87.623216,41.776951,-87.6339386,41.7750338
20000228,1,1,shopping,Saint Benedict School,09:30,10:13,2,43,0.0,walking,-87.6339386,41.7750338,-87.6339386,41.7750338,-87.6339386,41.7750338
20000228,1,1,dining,Saint Benedict School,10:13,11:00,2,47,0.0,walking,-87.6339386,41.7750338,-87.6339386,41.7750338,-87.6339386,41.7750338
20000228,1,1,leisure,Home,11:00,12:00,13,60,0.9165634731578345,walking,-87.623216,41.776951,-87.6339386,41.7750338,-87.623216,41.776951
20000228,1,1,shopping,New Food Mart,12:40,13:23,11,43,0.7653146601745443,walking,-87.615213,41.7803559,-87.623216,41.776951,-87.615213,41.7803559
20000228,1,1,errands,MLK Jr Dr & 63rd St,13:23,13:29,3,6,0.06228705128308994,walking,-87.6158646,41.7800791,-87.615213,41.7803559,-87.6158646,41.7800791
20000228,1,1,dining,Home,13:29,14:00,10,31,0.7030276213333667,walking,-87.623216,41.776951,-87.6158646,41.7800791,-87.623216,41.776951
20000228,1,1,leisure,Home,14:00,15:00,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,recreation,Neighborhood Walking Path,15:01,16:01,4,60,0.18774393194789674,walking,-87.6252972,41.777607,-87.623216,41.776951,-87.6252972,41.777607
20000228,1,1,healthcare,Saint Benedict School,16:02,16:45,11,43,0.7732083928979032,walking,-87.6339386,41.7750338,-87.6252972,41.777607,-87.6339386,41.7750338
20000228,1,1,leisure,Home,16:45,18:00,13,75,0.9165634731578345,walking,-87.623216,41.776951,-87.6339386,41.7750338,-87.623216,41.776951
20000228,1,1,dining,Home,18:00,19:00,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,social,Home,19:00,21:00,0,120,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,leisure,Home,21:00,22:30,0,90,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,1,sleep,Home,22:30,05:26,0,416,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,leisure,Home,05:26,06:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,recreation,Home,06:26,07:26,0,60,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
20000228,1,2,dining,Home,07:26,08:06,0,40,0.0,No need to travel,-87.623216,41.776951,-87.623216,41.776951,-87.623216,41.776951
